DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
561.3,2074.6765,494.8706,69.9176,4192356.25,44485.6875,0.3596,3,3919355.5026848274,12713.130222271711,2027.7870709612982,58.781540557310876,0.39035822239118867
561.45,2095.446,501.3823,71.4237,4180069.75,44485.6875,0.3466,3,3920901.776957431,8537.870069250552,2029.2039461969114,59.014798128275935,0.3894759886375179
561.6,2101.8923,524.3492,71.2875,4008787.75,44485.6875,0.3426,3,3922521.141199259,4549.1491916524765,2030.6982190841056,59.249829857285036,0.3885457827294063
561.75,2103.7397,538.3187,69.7083,3908051.25,44485.6875,0.3414,3,3924196.287785995,745.1769339200931,2032.2536283324714,59.483579453686055,0.3875777423303546
561.9,2098.3958,546.8873,69.473,3837096.0,44485.6875,0.3448,3,3925910.746542197,-2876.287830109356,2033.853913630652,59.713091686281075,0.386581999931423
562.05,2092.6086,559.3565,69.3615,3741190.0,42901.2383,0.3483,3,3927648.9740461013,-6317.913123659765,2035.482940875382,59.935538956669106,0.3855686047599522
562.2,2104.468,546.1841,69.239,3853062.0,-2971.1553,0.341,3,3929396.4297820497,-9582.769873788773,2037.1248249433984,60.14824647232294,0.3845474462795479
562.35,2116.803,536.0107,69.3658,3949181.75,-42209.5078,0.3332,3,3931139.6391102476,-12674.307645790504,2038.7640491342966,60.34871580405327,0.3835281798254894
562.5,2123.8,521.1532,69.4783,4075193.5,-42209.5078,0.3289,3,3932866.243146196,-15596.330243531356,2040.3855804381526,60.53464662815537,0.3825201549028048
562.65,2122.6162,517.3525,68.2081,4102845.5,-42209.5078,0.3296,3,3934565.0357576464,-18352.971304240935,2041.974979813156,60.70395647088774,0.3815323466537522
562.8,2109.4536,516.1852,68.1908,4086621.0,-42209.5078,0.3378,3,3936225.9879944446,-20948.67000586263,2043.5185066954184,60.85479829182897,0.3805732909774632
562.95,2087.9253,515.1686,67.879,4052894.0,-42209.5078,0.3513,3,3937840.260365562,-23388.146994149472,2045.003217005426,60.985575762915225,0.3796510237571691
563.1,2078.3137,517.7326,62.5845,4014274.25,-42209.5078,0.3573,3,3939400.2034672704,-25676.380625406277,2046.417053963073,61.09495612138564,0.37877302461992446
563.25,2009.7872,518.2378,60.4693,3878125.0,-42209.5078,0.4001,3,3940899.347546483,-27818.58360926332,2047.7489310755163,61.18188049725556,0.3779461656202472
563.4,2005.895,518.6986,55.7823,3867168.75,-42209.5078,0.4025,3,3942332.381653472,-29820.18012425221,2048.988806719056,61.24557163908828,0.37717666520282317
563.55,1970.4465,520.3807,55.3163,3786580.0,-42209.5078,0.4247,3,3943695.123098335,-31686.78346737035,2050.1277497975325,61.285538985532725,0.37647004776059234
563.7,1981.192,520.306,55.3163,3807746.0,-42209.5078,0.418,3,3944984.477975785,-33424.174287392336,2051.157996025032,61.30158105411782,0.3758311090633862
563.85,1987.4969,517.5151,55.7214,3840487.25,-42209.5078,0.414,3,3946198.3935629865,-35038.27944053286,2052.0729944495297,61.293785142922445,0.3752638877890831
564.0,1997.4404,514.9379,55.7909,3879019.0,-42209.5078,0.4079,3,3947335.803425352,-36535.15149629914,2052.8674439060605,61.26252436475323,0.3747716433442592
