DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label
588.45,2083.8359,530.3269,50.4394,3929342.0,159570.625,0.3539,3
588.6,2065.4875,530.8011,48.8323,3891320.75,159570.625,0.3653,3
588.75,2035.0181,531.9813,47.3008,3825350.75,159570.625,0.3844,3
588.9,2019.1516,530.9723,46.6067,3802734.25,159570.625,0.3943,3
589.05,1971.8025,530.8024,46.4735,3714832.5,153195.0469,0.4239,3
589.2,1890.7648,531.6746,46.0654,3556249.25,107092.7109,0.4745,3
589.35,1913.7028,529.3108,46.6353,3615881.5,17309.2051,0.4602,3
589.5,1929.9879,517.3557,46.8322,3730622.0,17309.2051,0.45,3
589.65,1931.1731,509.1153,47.6888,3793191.0,17309.2051,0.4493,3
589.8,1988.2731,509.3007,51.9032,3903915.75,17309.2051,0.4136,3
589.95,2039.0764,512.3328,56.6639,3980188.25,17309.2051,0.3818,3
590.1,2103.5967,533.6985,60.711,3941500.75,17309.2051,0.3415,3
590.25,2150.4839,540.9329,62.4564,3975553.5,17309.2051,0.3122,3
590.4,2159.5686,549.2729,62.8784,3931784.5,17309.2051,0.3065,3
590.55,2144.8201,559.4418,64.6171,3833869.0,17309.2051,0.3158,3
590.7,2144.8647,564.0812,65.5953,3802402.25,17309.2051,0.3157,3
590.85,2129.114,561.4343,64.5625,3792283.75,17309.2051,0.3256,3
591.0,2131.0999,552.3786,62.7829,3858042.0,17309.2051,0.3243,3
591.15,2119.8735,542.1271,61.2025,3910295.25,17309.2051,0.3314,3
591.3,2102.1787,527.9176,54.954,3982072.5,17309.2051,0.3424,3
591.45,2089.3145,511.5592,51.6307,4084338.5,17309.2051,0.3505,3
591.6,2076.7769,500.3117,47.1053,4151040.75,17309.2051,0.3583,3
591.75,1990.1913,504.5314,46.49,3944791.5,17309.2051,0.4124,3
591.9,1991.7114,509.8492,46.1731,3906492.25,17309.2051,0.4114,3
592.05,2036.8131,512.2008,45.0038,3976559.25,17309.2051,0.3832,3
592.2,2039.2828,517.549,44.8675,3940330.0,17309.2051,0.3817,3
592.35,2064.7356,517.0917,44.4706,3992997.5,17309.2051,0.3658,3
592.5,2067.7686,513.442,42.1639,4027298.5,17309.2051,0.3639,3
592.65,2056.3518,514.5721,41.7581,3996261.0,17309.2051,0.371,3
592.8,1979.3239,521.3392,41.7581,3797155.0,17309.2051,0.4192,3
592.95,1978.4434,527.8756,42.4862,3747947.25,-56004.4453,0.4197,3
593.1,1982.264,539.4733,43.5307,3674816.25,-195024.7188,0.4174,3
593.25,1984.9604,547.6751,43.8242,3624432.25,-227730.1562,0.4156,3
593.4,1993.636,544.3827,43.8423,3662336.25,-227730.1562,0.4102,3
593.55,2034.4166,541.2474,43.7852,3758837.75,-227730.1562,0.3848,3
593.7,2009.8312,539.6692,43.7645,3724143.5,-227730.1562,0.4001,3
593.85,1962.8171,542.0012,43.6394,3621587.75,-227730.1562,0.4295,3
594.0,1954.79,546.2443,43.5875,3578628.25,-227730.1562,0.4345,3
594.15,1956.1227,561.0244,43.7854,3487693.0,-227730.1562,0.4337,3
594.3,1978.1415,566.2418,43.8814,3493514.0,-227730.1562,0.4199,3
594.45,1994.0052,565.8104,43.9638,3524157.0,-227730.1562,0.41,3
594.6,1995.4476,564.5203,44.2345,3534778.0,-227730.1562,0.4091,3
594.75,1982.924,563.9657,45.4213,3516044.25,-227730.1562,0.4169,3
594.9,1954.2063,565.9342,46.2629,3453165.5,-227730.1562,0.4349,3
595.05,1888.7889,570.6822,47.9839,3310210.5,-227730.1562,0.4758,3
595.2,1858.1364,574.8576,49.8995,3232333.5,-227730.1562,0.4949,3
595.35,1888.6147,572.6761,50.4893,3298184.5,-227730.1562,0.4759,3
595.5,1925.4264,570.4328,50.5111,3375355.25,-227730.1562,0.4529,3
595.65,1937.0708,565.3383,50.5111,3426661.5,-227730.1562,0.4456,3
595.8,1930.3015,558.6116,50.2027,3455538.75,-227730.1562,0.4498,3
595.95,1937.4901,559.1561,48.9148,3464996.25,-227730.1562,0.4453,3
596.1,1958.6062,563.742,47.4255,3474290.25,-227730.1562,0.4322,3
596.25,1953.974,565.2197,46.5569,3456964.25,-227730.1562,0.435,3
596.4,1904.304,559.4385,46.017,3403658.75,-227730.1562,0.4661,3
596.55,1855.9283,546.1671,45.6068,3398806.25,-239000.0,0.4963,3
596.7,1830.517,531.8483,45.1107,3441742.5,-255399.875,0.5122,3
596.85,1787.53,528.6061,43.6809,3381834.25,-256046.9062,0.539,3
597.0,1756.1335,533.097,41.4761,3294262.75,-256046.9062,0.5587,3
597.15,1762.4111,538.7318,41.2875,3271472.25,-256046.9062,0.5548,3
597.3,1767.8665,542.6324,41.3868,3257946.25,-256046.9062,0.5513,3
